numero_de_cliente,foto_mes,active_quarter,cliente_vip,internet,cliente_edad,cliente_antiguedad,mrentabilidad,mrentabilidad_annual,mcomisiones,mactivos_margen,mpasivos_margen,cproductos,tcuentas,ccuenta_corriente,mcuenta_corriente_adicional,mcuenta_corriente,ccaja_ahorro,mcaja_ahorro,mcaja_ahorro_adicional,mcaja_ahorro_dolares,cdescubierto_preacordado,mcuentas_saldo,ctarjeta_debito,ctarjeta_debito_transacciones,mautoservicio,ctarjeta_visa,ctarjeta_visa_transacciones,mtarjeta_visa_consumo,ctarjeta_master,ctarjeta_master_transacciones,mtarjeta_master_consumo,cprestamos_personales,mprestamos_personales,cprestamos_prendarios,mprestamos_prendarios,cprestamos_hipotecarios,mprestamos_hipotecarios,cplazo_fijo,mplazo_fijo_dolares,mplazo_fijo_pesos,cinversion1,minversion1_pesos,minversion1_dolares,cinversion2,minversion2,cseguro_vida,cseguro_auto,cseguro_vivienda,cseguro_accidentes_personales,ccaja_seguridad,cpayroll_trx,mpayroll,mpayroll2,cpayroll2_trx,ccuenta_debitos_automaticos,mcuenta_debitos_automaticos,ctarjeta_visa_debitos_automaticos,mttarjeta_visa_debitos_automaticos,ctarjeta_master_debitos_automaticos,mttarjeta_master_debitos_automaticos,cpagodeservicios,mpagodeservicios,cpagomiscuentas,mpagomiscuentas,ccajeros_propios_descuentos,mcajeros_propios_descuentos,ctarjeta_visa_descuentos,mtarjeta_visa_descuentos,ctarjeta_master_descuentos,mtarjeta_master_descuentos,ccomisiones_mantenimiento,mcomisiones_mantenimiento,ccomisiones_otras,mcomisiones_otras,cforex,cforex_buy,mforex_buy,cforex_sell,mforex_sell,ctransferencias_recibidas,mtransferencias_recibidas,ctransferencias_emitidas,mtransferencias_emitidas,cextraccion_autoservicio,mextraccion_autoservicio,ccheques_depositados,mcheques_depositados,ccheques_emitidos,mcheques_emitidos,ccheques_depositados_rechazados,mcheques_depositados_rechazados,ccheques_emitidos_rechazados,mcheques_emitidos_rechazados,tcallcenter,ccallcenter_transacciones,thomebanking,chomebanking_transacciones,ccajas_transacciones,ccajas_consultas,ccajas_depositos,ccajas_extracciones,ccajas_otras,catm_trx,matm,catm_trx_other,matm_other,ctrx_quarter,tmobile_app,cmobile_app_trx,Master_delinquency,Master_status,Master_mfinanciacion_limite,Master_Fvencimiento,Master_Finiciomora,Master_msaldototal,Master_msaldopesos,Master_msaldodolares,Master_mconsumospesos,Master_mconsumosdolares,Master_mlimitecompra,Master_madelantopesos,Master_madelantodolares,Master_fultimo_cierre,Master_mpagado,Master_mpagospesos,Master_mpagosdolares,Master_fechaalta,Master_mconsumototal,Master_cconsumos,Master_cadelantosefectivo,Master_mpagominimo,Visa_delinquency,Visa_status,Visa_mfinanciacion_limite,Visa_Fvencimiento,Visa_Finiciomora,Visa_msaldototal,Visa_msaldopesos,Visa_msaldodolares,Visa_mconsumospesos,Visa_mconsumosdolares,Visa_mlimitecompra,Visa_madelantopesos,Visa_madelantodolares,Visa_fultimo_cierre,Visa_mpagado,Visa_mpagospesos,Visa_mpagosdolares,Visa_fechaalta,Visa_mconsumototal,Visa_cconsumos,Visa_cadelantosefectivo,Visa_mpagominimo,clase_ternaria
29183733,202107,1,0,0,46,99,2016.19,32146.69,1099.1,-112.81,894.65,8,1,1,0,-542.23,2,40187.75,0,11341.15,1,20379.74,1,4,58902.96,1,10,23288.61,1,19,33109.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,113969.85,0,0,2,19296.37,4,10013.9,6,5116.14,0,0,0,0,0,0,1,,0,0,0,0,14,1099.1,0,0,0,0,0,1,3120.18,3,26979,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,100,0,1,0,0,63342,-303,,37094.31,32283.37,4810.94,11157.35,49.19,70380,0,0,3,0,-39333.88,53.94,2995,11157.35,13,0,5630.4,0,0,63342,-668,,20524.61,24075.36,0,10011.78,1.46,70380,0,0,3,0,-27151.97,0,2995,10011.78,6,0,2498.49,CONTINUA
29184468,202107,1,0,0,42,284,1633.7,13781.99,602.61,-240.96,1119.98,9,1,1,0,0,2,64730.58,0,35486.46,1,133751.79,1,16,26461.96,1,13,26236.63,1,0,0,1,76649.52,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,87917.68,0,0,2,4837.12,5,6981.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,602.61,1,0,0,1,234.6,1,87917.68,4,10087.8,1,5865,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,5865,150,0,1,0,0,76010.4,-333,,0,0,0,,,84456,,,3,0,,,3705,,,,0,0,0,152020.8,-882,,22774.92,26714.98,0,15138.18,2.58,168912,0,0,10,0,-19268.21,0,5722,15138.18,9,0,3178.83,CONTINUA
29185245,202107,1,0,0,55,23,3759.73,24296.95,2829.38,745.55,47.59,7,1,1,0,-9579.48,2,0.49,0,0,1,-3659.45,1,0,0,1,11,58644.32,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3007.14,6,2829.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,40,0,1,0,0,202694.4,-1429,,5801.96,5801.96,0,0,0,225216,0,0,10,0,-703.8,0,424,0,0,0,445.74,0,0,202694.4,-1521,,70093.5,51528.93,30690.73,58080.27,582.55,225216,0,0,3,0,-8211,0,758,58080.27,10,0,26240.01,CONTINUA
29186441,202107,1,0,0,62,296,2693.26,75390.56,2493.68,-2909.21,3079.36,7,1,1,0,0,2,190485.28,0,33447.32,1,222687.68,7,0,0,1,10,42452.72,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1373.05,7,25254.99,0,0,0,0,6,28306.55,0,0,0,0,0,0,1,2128.85,8,2493.68,0,0,0,0,0,0,0,0,0,0,0,2,105570,0,0,0,0,0,0,0,0,1,21,0,0,0,0,0,0,0,0,0,82,0,0,0,0,126684,-1126,,0,0,0,,,140760,,,17,0,,,6933,,,,0,0,0,177357.6,-698,,35451.88,41585.05,0,26541.92,0,197064,0,0,24,41585.05,-42723.62,0,8097,26541.92,8,0,1782.96,CONTINUA
29186475,202107,1,0,0,66,326,4567.63,56305.98,3690.64,-1521.02,2268.67,8,1,1,0,0,3,99393.33,21677.96,34195.83,1,91156.89,2,14,15621.41,1,20,60819.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5534.21,3,6616.89,0,0,0,0,10,35970.77,0,0,0,0,0,0,1,2793.86,13,3690.64,0,0,0,0,0,2,54234.82,5,154660.05,3,70380,0,0,0,0,0,0,0,0,0,0,1,96,0,0,0,0,0,3,70380,0,0,191,0,1,0,0,177357.6,-790,,-22433.21,-787.37,-21645.83,,,197064,,,3,0,,,2139,,,,0,0,0,177357.6,-1156,,52181.1,61208.43,0,50304.17,0,197064,0,0,3,0,-51675.11,0,2139,50304.17,16,0,3577.65,CONTINUA
29187730,202107,1,0,0,65,326,7943.33,131725.7,1166.58,-783.19,6560.47,8,1,1,0,0,2,398736.98,0,791098.55,1,1053200.3,2,1,3758.29,1,21,92771.35,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,303809.34,0,0,2,3530.47,9,55174.4,0,0,0,0,5,13915.65,0,0,1,,0,0,0,0,8,1166.58,0,0,0,0,0,0,0,2,133734.9,9,234600,0,0,0,0,0,0,0,0,0,0,1,69,0,0,0,0,0,9,234600,0,0,100,0,1,0,0,1399942.65,-364,,0,0,0,,,1555491.84,,,3,0,,,7705,,,,0,0,0,1399942.65,-425,,79895.87,93605.25,112.59,81931.93,1.81,1555491.84,0,0,24,93724.31,-75205.28,1,6516,81931.93,16,0,8480.79,CONTINUA
29187764,202107,1,0,0,56,91,4861.51,46598.35,1302.87,-1655.81,4689.6,10,1,1,0,0,2,186431.49,0,7701.77,1,34889.03,1,37,69205.45,1,20,44899.46,1,1,5861.1,2,51013.1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,326914.73,0,0,1,142.01,5,11462.5,0,0,0,0,4,39407.53,1,242.81,0,0,1,0,0,0,8,1302.87,0,0,0,0,0,5,433933.06,14,283374.51,4,20527.5,0,0,0,0,0,0,0,0,0,0,1,52,0,0,0,0,0,1,4105.5,3,16422,231,0,1,0,0,709430.4,-121,,8656.75,8656.75,0,0,0,788256,0,0,3,0,-12722.85,0,1719,0,0,0,3026.34,0,0,354715.2,-1582,,38714.8,45412.46,0,22464.65,0,394128,0,0,3,0,-207964.55,0,1719,22464.65,14,0,2486.76,CONTINUA
29187961,202107,1,0,0,62,326,6230.61,65485.56,4971.69,-3956.56,5029.81,7,1,1,0,0,2,106284.93,0,0,1,66811.6,1,0,0,1,42,135990.47,1,2,8681.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,16145.48,1,6798.69,0,0,14,279681.93,0,0,0,0,0,0,1,3007.14,8,4971.69,0,0,0,0,0,1,23460,1,4692,0,0,0,0,0,0,0,0,0,0,0,0,1,150,0,0,0,0,0,0,0,0,0,148,0,1,0,0,506736,-607,,7876.92,7876.92,0,8681.09,0,563040,0,0,17,7876.92,-49373.23,246.7,6365,8681.09,2,0,0,0,0,506736,-1003,,116523.43,136681.98,0,98717.05,0,563040,0,0,3,0,-222510.54,620.51,8516,98717.05,27,0,7706.61,CONTINUA
29189899,202107,1,0,0,60,379,3497.72,70109.88,2347.48,-1766.71,2747.3,12,1,2,0,0,4,78508.89,0,87334.8,1,253649.69,2,16,50479.17,1,65,148670.71,1,0,0,0,0,0,0,0,0,3,293261.3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,31,89111.33,0,0,0,0,3,15619.17,0,0,0,0,0,0,0,0,10,2347.48,1,0,0,1,175.95,5,262471.61,3,34063.92,3,18768,0,0,0,0,0,0,0,0,1,3,1,126,0,0,0,0,0,3,18768,0,0,297,0,1,0,0,354715.2,-364,,0,0,0,,,394128,,,10,0,,,7705,,,,0,0,0,354715.2,-913,,126935.77,149469,-573.35,102991.71,2.96,394128,0,0,10,149469,-219762.79,0,9339,102991.71,43,0,8328.3,CONTINUA
29189993,202107,1,0,0,59,74,4577.21,1736.68,4063.79,-1081.46,1519.15,9,1,1,0,31762.29,2,67112.02,0,0,1,80939.33,1,29,106468.94,1,16,15103.72,0,0,0,0,0,1,767593.33,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,482.22,12,9535.58,0,0,0,0,1,3725.68,0,0,0,0,0,0,1,1947.36,16,4063.79,0,0,0,0,0,11,215019.69,2,145099.51,0,0,1,19434.93,0,0,0,0,0,0,0,0,1,34,0,0,0,0,0,0,0,0,0,202,0,1,,,,,,,,,,,,,,,,,,,,,,,0,0,177357.6,-2159,,25680.63,30123.37,0,13246.57,0,197064,0,0,3,0,-37494.64,0,2250,13246.57,15,0,15729.93,CONTINUA
